# ADR-0029 grid evidence: 4 families x 5 markets x 3 timeframes
# commit=8ca08f76f5fb45e894462f98413a4f313e77c6d8  errors=0
family,market,timeframe,declaredDepth,status,eligible,bestDSR,regimeClass,allocation,reasons
donchian-breakout,KRW-BTC,1d,2000,OK,0/5,0.9824434938624931,FRAGILE,null,bench|trades|fragile
donchian-breakout,KRW-BTC,60m,1500,OK,5/5,0.3439520985522544,INSUFFICIENT,null,dsr|regimeCov|narrow
donchian-breakout,KRW-BTC,240m,4000,OK,4/5,0.738408830480339,FRAGILE,null,dsr|trades|fragile
donchian-breakout,KRW-ETH,1d,2000,OK,0/5,0.9967167510194439,FRAGILE,null,bench|dsr|trades|fragile
donchian-breakout,KRW-ETH,60m,1500,OK,5/5,0.29400683264131294,INSUFFICIENT,null,dsr|regimeCov|narrow
donchian-breakout,KRW-ETH,240m,4000,OK,4/5,0.7554823434626782,FRAGILE,null,dsr|trades|fragile
donchian-breakout,KRW-XRP,1d,2000,OK,4/5,0.7979297997555768,FRAGILE,null,dsr|trades|fragile
donchian-breakout,KRW-XRP,60m,1500,OK,3/5,0.6667919189356837,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
donchian-breakout,KRW-XRP,240m,4000,OK,3/5,0.828194438350528,FRAGILE,null,dsr|trades|fragile
donchian-breakout,KRW-ADA,1d,2000,OK,4/5,0.5665303423565322,FRAGILE,null,dsr|trades|fragile
donchian-breakout,KRW-ADA,60m,1500,OK,3/5,0.7935935625057283,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
donchian-breakout,KRW-ADA,240m,4000,OK,4/5,0.4736960398909327,ROBUST,null,dsr|trades|ROBUSTedge
donchian-breakout,KRW-DOGE,1d,2000,OK,3/5,0.6529103866801216,FRAGILE,null,dsr|trades|fragile
donchian-breakout,KRW-DOGE,60m,1500,OK,5/5,0.3779030853104483,INSUFFICIENT,null,dsr|regimeCov|narrow
donchian-breakout,KRW-DOGE,240m,4000,OK,4/5,0.670745253791118,ROBUST,null,dsr|trades|ROBUSTedge
sma-crossover,KRW-BTC,1d,2000,OK,0/9,0.9121986604938603,FRAGILE,null,bench|dsr|fragile
sma-crossover,KRW-BTC,60m,1500,OK,9/9,0.013642651353463098,INSUFFICIENT,null,dsr|regimeCov|narrow
sma-crossover,KRW-BTC,240m,4000,OK,9/9,0.05808911564596958,FRAGILE,null,dsr|fragile
sma-crossover,KRW-ETH,1d,2000,OK,0/9,0.5406363385256853,FRAGILE,null,bench|dsr|fragile
sma-crossover,KRW-ETH,60m,1500,OK,9/9,0.39697508679973204,INSUFFICIENT,null,dsr|regimeCov|narrow
sma-crossover,KRW-ETH,240m,4000,OK,9/9,0.34030485830506524,FRAGILE,null,dsr|fragile
sma-crossover,KRW-XRP,1d,2000,OK,9/9,0.3780403237735011,FRAGILE,null,dsr|fragile
sma-crossover,KRW-XRP,60m,1500,OK,9/9,0.3313780528076116,INSUFFICIENT,null,dsr|regimeCov|narrow
sma-crossover,KRW-XRP,240m,4000,OK,9/9,0.5935810317582959,FRAGILE,null,dsr|fragile
sma-crossover,KRW-ADA,1d,2000,OK,9/9,0.20923932502891862,FRAGILE,null,dsr|fragile
sma-crossover,KRW-ADA,60m,1500,OK,9/9,0.14718142904938536,INSUFFICIENT,null,dsr|regimeCov|narrow
sma-crossover,KRW-ADA,240m,4000,OK,9/9,0.2523616811604962,ROBUST,null,dsr|ROBUSTedge
sma-crossover,KRW-DOGE,1d,2000,OK,9/9,0.6272650020958204,FRAGILE,null,dsr|fragile
sma-crossover,KRW-DOGE,60m,1500,OK,9/9,0.18144693546070456,INSUFFICIENT,null,dsr|regimeCov|narrow
sma-crossover,KRW-DOGE,240m,4000,OK,9/9,0.19070608511118237,ROBUST,null,dsr|ROBUSTedge
rsi-mean-reversion,KRW-BTC,1d,2000,OK,0/9,0.23643437048951293,FRAGILE,null,bench|dsr|trades|fragile
rsi-mean-reversion,KRW-BTC,60m,1500,OK,3/9,0.28137830141644005,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
rsi-mean-reversion,KRW-BTC,240m,4000,OK,5/9,0.21038562192294552,FRAGILE,null,dsr|trades|fragile
rsi-mean-reversion,KRW-ETH,1d,2000,OK,0/9,0.21487334172384576,FRAGILE,null,bench|dsr|trades|fragile
rsi-mean-reversion,KRW-ETH,60m,1500,OK,3/9,0.4064683668444468,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
rsi-mean-reversion,KRW-ETH,240m,4000,OK,4/9,0.689362789151007,FRAGILE,null,dsr|trades|fragile
rsi-mean-reversion,KRW-XRP,1d,2000,OK,6/9,0.3657731214375329,FRAGILE,null,dsr|trades|fragile
rsi-mean-reversion,KRW-XRP,60m,1500,OK,3/9,0.3583159649018687,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
rsi-mean-reversion,KRW-XRP,240m,4000,OK,5/9,0.35176745100825185,FRAGILE,null,dsr|trades|fragile
rsi-mean-reversion,KRW-ADA,1d,2000,OK,6/9,0.3209354281938489,FRAGILE,null,dsr|trades|fragile
rsi-mean-reversion,KRW-ADA,60m,1500,OK,4/9,0.27654439737164566,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
rsi-mean-reversion,KRW-ADA,240m,4000,OK,5/9,0.5271656775573692,ROBUST,null,dsr|trades|ROBUSTedge
rsi-mean-reversion,KRW-DOGE,1d,2000,OK,5/9,0.15495491729715422,FRAGILE,null,dsr|trades|fragile
rsi-mean-reversion,KRW-DOGE,60m,1500,OK,5/9,0.35119339443109804,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
rsi-mean-reversion,KRW-DOGE,240m,4000,OK,5/9,0.541611521243943,ROBUST,null,dsr|trades|ROBUSTedge
time-series-momentum,KRW-BTC,1d,2000,OK,0/12,0.9405510562639082,FRAGILE,null,bench|dsr|fragile
time-series-momentum,KRW-BTC,60m,1500,OK,6/12,0.29485226777524026,INSUFFICIENT,null,dsr|regimeCov|trades|narrow
time-series-momentum,KRW-BTC,240m,4000,OK,12/12,0.29419350253267806,FRAGILE,null,dsr|fragile
time-series-momentum,KRW-ETH,1d,2000,OK,0/12,0.7144357841043927,FRAGILE,null,bench|dsr|fragile
time-series-momentum,KRW-ETH,60m,1500,OK,0/12,0.5788593814897733,INSUFFICIENT,null,bench|dsr|regimeCov|trades|narrow
